Call OI,Call LTP,Call Delta,Strike,IV,Instrument,Put LTP,Put Delta,Put OI,Theta,Vega,Gamma
555100.00,4626.35,1.00,13000,42.50,NIFTY,1.80,0.00,454550.00,-0.34,0.42,0.00000
19350.00,3688.15,1.00,14000,34.30,NIFTY,2.55,0.00,154400.00,-0.44,0.67,0.00000
633850.00,2642.00,0.99,15000,26.50,NIFTY,4.10,-0.01,990650.00,-0.61,1.20,0.00000
500.00,1850.35,0.98,15800,19.60,NIFTY,5.20,-0.02,124400.00,-0.69,1.84,0.00000
0.00,0.00,--,15850,--,NIFTY,0.00,--,0.00,--,--,--
0.00,0.00,0.98,15900,18.90,NIFTY,5.65,-0.02,143250.00,-0.73,2.02,0.00000
0.00,0.00,0.98,15950,18.70,NIFTY,6.30,-0.02,11100.00,-0.79,2.21,0.00010
342050.00,1654.80,0.98,16000,18.50,NIFTY,7.05,-0.02,2525850.00,-0.86,2.42,0.00010
0.00,0.00,0.98,16050,17.90,NIFTY,6.70,-0.02,10750.00,-0.82,2.39,0.00010
5500.00,1595.95,0.98,16100,17.50,NIFTY,7.05,-0.02,177750.00,-0.85,2.53,0.00010
200.00,1283.05,0.98,16150,17.20,NIFTY,7.60,-0.02,12100.00,-0.90,2.70,0.00010
3550.00,1474.45,0.97,16200,16.80,NIFTY,7.85,-0.03,244700.00,-0.91,2.82,0.00010
100.00,1191.95,0.97,16250,16.50,NIFTY,8.35,-0.03,18550.00,-0.95,3.00,0.00010
20350.00,1361.80,0.97,16300,16.30,NIFTY,9.35,-0.03,244150.00,-1.03,3.28,0.00010
400.00,1322.90,0.97,16350,15.90,NIFTY,9.80,-0.03,25200.00,-1.06,3.46,0.00010
5100.00,1277.35,0.96,16400,15.70,NIFTY,10.90,-0.04,338750.00,-1.14,3.77,0.00010
400.00,972.20,0.96,16450,15.40,NIFTY,11.80,-0.04,31800.00,-1.20,4.04,0.00010
190250.00,1165.00,0.96,16500,15.20,NIFTY,13.45,-0.04,2075750.00,-1.31,4.47,0.00010
400.00,932.00,0.95,16550,14.90,NIFTY,14.35,-0.05,34500.00,-1.36,4.75,0.00010
6450.00,1098.10,0.95,16600,14.60,NIFTY,15.65,-0.05,408000.00,-1.43,5.11,0.00020
3000.00,778.80,0.94,16650,14.30,NIFTY,17.50,-0.06,28200.00,-1.54,5.57,0.00020
